WG,chapter,report_page,chapter_page,line,col.index,line_reference,final_text,raw_text
WGI,01,169,25,1,col1,|,"confidence in a finding is assessed to be low, this does not necessarily mean that confidence in its opposite is high, and vice versa.","confidence in a finding is assessed to be low, this does not necessarily mean that confidence in its opposite is high, and vice versa."
WGI,01,169,25,2,col1,>>>,"similarly, low confidence does not imply distrust in the finding; instead, it means that the statement is the best conclusion based on","similarly, low confidence does not imply distrust in the finding; instead, it means that the statement is the best conclusion based on"
WGI,01,169,25,3,col1,|,currently available knowledge. further research and methodological progress may change the level of confidence in any finding in,currently available knowledge. further research and methodological progress may change the level of confidence in any finding in
WGI,01,170,26,1,col1,|,extremely likely,extremely likely_ 95-100%
WGI,01,170,26,2,col1,>>>,very low confidence,very low confidence_ very likely_ 90-100%
WGI,01,170,26,3,col1,|,3. sufficient evidence and,3. sufficient evidence and_ likely_ 66-100%
WGI,01,170,26,4,col2,|, consistency_ medium confidence_ likelihood_ outcome probability,quantity_ consistency_ medium confidence_ likelihood_ outcome probability
WGI,01,170,26,5,col2,>>>, low confidence_ virtually certain_ 99-100%,and scientific agreement_ low confidence_ virtually certain_ 99-100%
WGI,01,170,26,6,col2,|, 95-100%,extremely likely_ 95-100%
WGI,01,170,26,7,col2,|, (high confidence) and 5°c (medium confidence). the,it is unequivocal that human influence has warmed the_ (high confidence) and 5°c (medium confidence). the
WGI,01,170,26,8,col2,>>>, there is low confidence in long-term (multi-decadal to_ ar6 assessed best estimate is 3°c with a likely range,"atmosphere, ocean and land. widespread and rapid_ there is low confidence in long-term (multi-decadal to_ ar6 assessed best estimate is 3°c with a likely range"
WGI,01,170,26,9,col2,|, centennial) trends in the frequency of all-category tropical   of 2.5°c to 4°c (high confidence)... {spm.a.4.4},"changes in the atmosphere, ocean, cryosphere and_ centennial) trends in the frequency of all-category tropical   of 2.5°c to 4°c (high confidence)... {spm.a.4.4}"
WGI,01,186,42,1,col2,|," of global warming by 2030, compared to a baseline of 1850–1900, and","differ greatly from the forcings subsequently experienced, they_ of global warming by 2030, compared to a baseline of 1850–1900, and"
WGI,01,186,42,2,col2,>>>, were assigned low confidence. the far also suggested that regional,were generally able to project actual future global warming when_ were assigned low confidence. the far also suggested that regional
WGI,01,186,42,3,col2,|, temperature changes should be scaled by –30% to +50% to account,the mismatches between forecast and observed radiative forcings_ temperature changes should be scaled by –30% to +50% to account
WGI,01,188,44,1,col1,|,"confidence), and extreme sea level events (high confidence) associated with some tropical cyclones. it also found evidence for an","confidence), and extreme sea level events (high confidence) associated with some tropical cyclones. it also found evidence for an"
WGI,01,188,44,2,col1,>>>,increase in the annual global proportion of category 4 or 5 tropical cyclones in recent decades (low confidence).,increase in the annual global proportion of category 4 or 5 tropical cyclones in recent decades (low confidence).
WGI,01,188,44,3,col1,|,1,1
WGI,01,188,44,4,col1,|,"warming (medium confidence). according to srocc, sea level rise in an extended rcp2.6 scenario would be limited to around 1 m in","warming (medium confidence). according to srocc, sea level rise in an extended rcp2.6 scenario would be limited to around 1 m in"
WGI,01,188,44,5,col1,>>>,2300 (low confidence) while under rcp8.5 multi-metre sea level rise is projected by then (medium confidence).,2300 (low confidence) while under rcp8.5 multi-metre sea level rise is projected by then (medium confidence).
WGI,01,188,44,6,col1,|,"the srocc projected that over the 21st century, the ocean will transition to unprecedented conditions, with increased temperatures","the srocc projected that over the 21st century, the ocean will transition to unprecedented conditions, with increased temperatures"
WGI,01,192,48,1,col2,|," framing, context, and methods","chapter 1_ framing, context, and methods"
WGI,01,192,48,2,col2,>>>," either direction, with low confidence in the sign of any differences","observed global warming levels for a range of reference periods_ either direction, with low confidence in the sign of any differences"
WGI,01,192,48,3,col2,|, (see cross chapter box 2.3 for details).,that are either used in ar6 or were used in previous ipcc reports._ (see cross chapter box 2.3 for details).
WGI,01,and applied long enough.,142,1,col1,|,by 2100 and 5 m by 2150 under a very high ghg,by 2100 and 5 m by 2150 under a very high ghg
WGI,01,and applied long enough.,142,2,col1,>>>,emissions scenario (ssp5-8.5) (low confidence) –,emissions scenario (ssp5-8.5) (low confidence) –
WGI,01,and applied long enough.,142,3,col1,|,cannot be ruled out due to deep uncertainty in,cannot be ruled out due to deep uncertainty in
WGI,01,and applied long enough.,142,4,col2,|, will undergo an abrupt,where the thermohaline_ will undergo an abrupt
WGI,01,and applied long enough.,142,5,col2,>>>," the meridional overturning_ the 21st century decline, there is only low confidence","the north atlantic thermohaline_ the meridional overturning_ the 21st century decline, there is only low confidence"
WGI,01,and applied long enough.,142,6,col2,|, transition or collapse in,"circulation weakens, there is_ transition or collapse in"
WGI,01,and applied long enough.,142,7,col2,|," 21st century. it is very unlikely_ before 2100. if such a collapse were to occur, it would","changes are difficult to predict._ 21st century. it is very unlikely_ before 2100. if such a collapse were to occur, it would"
WGI,01,and applied long enough.,142,8,col2,>>>, gases. the current projections_ there is low confidence,changes in_ gases. the current projections_ there is low confidence
WGI,01,and applied long enough.,142,9,col2,|, that the moc will undergo_ very likely cause abrupt shifts in regional weather,these arise from the non-_ that the moc will undergo_ very likely cause abrupt shifts in regional weather
WGI,02,290,4,1,col2,|, dominated by changes in tropospheric ozone. due to discrepancies,"of its effective radiative forcing (erf), measured in w m–2. positive_ dominated by changes in tropospheric ozone. due to discrepancies"
WGI,02,290,4,2,col2,>>>," in satellite and in situ records, there is low confidence in estimates of","erf values exert a warming influence and negative erf values exert_ in satellite and in situ records, there is low confidence in estimates of"
WGI,02,290,4,3,col2,|," stratospheric water vapour change. {2.2.5, 7.3.2}","a cooling influence (chapter 7)._ stratospheric water vapour change. {2.2.5, 7.3.2}"
WGI,02,291,5,1,col1,|,"certain that the tropopause height has risen globally over 1980–2018,","certain that the tropopause height has risen globally over 1980–2018,_ confidence) and the mid-holocene (high confidence). the antarctic ice"
WGI,02,291,5,2,col1,>>>,but there is low confidence in the magnitude. {2.3.1.2},"but there is low confidence in the magnitude. {2.3.1.2}_ sheet (ais) lost mass between 1992 and 2020 (very high confidence),"
WGI,02,291,5,3,col1,|,with an increasing rate of mass loss over this period (medium,with an increasing rate of mass loss over this period (medium
WGI,02,291,5,4,col1,|,cycle provide evidence for overall strengthening since at least,"cycle provide evidence for overall strengthening since at least_ hemisphere where it was absent prior to 3000 years ago, increases in"
WGI,02,291,5,5,col1,>>>,"1980 (high confidence). however, there is low confidence","1980 (high confidence). however, there is low confidence_ temperatures in the upper 30 m over the past three to four decades"
WGI,02,291,5,6,col1,|,in comparing recent changes with past variations due to,in comparing recent changes with past variations due to_ have been widespread (high confidence). {2.3.2}
WGI,02,291,5,7,col1,|,water vapour content has very likely increased during the satellite,"water vapour content has very likely increased during the satellite_ was 1.3 [0.6 to 2.1] mm yr –1 between 1901 and 1971, increasing"
WGI,02,291,5,8,col1,>>>,era. observational uncertainty leads to low confidence in global,"era. observational uncertainty leads to low confidence in global_ to 1.9 [0.8 to 2.9] mm yr –1 between 1971 and 2006, and further"
WGI,02,291,5,9,col1,|,trends in precipitation minus evaporation and river runoff. {2.3.1.3},trends in precipitation minus evaporation and river runoff. {2.3.1.3}_ increasing to 3.7 [3.2 to 4.2] mm yr –1 between 2006 and 2018
WGI,02,291,5,10,col1,|,"likely changed since the mid-20th century, but limited proxy","likely changed since the mid-20th century, but limited proxy_ the mid-holocene (6000 years ago), 5 to 10 m (likely) higher during"
WGI,02,291,5,11,col1,>>>,evidence yields low confidence in how these changes compare,"evidence yields low confidence in how these changes compare_ the last interglacial (125,000 years ago), and 5 to 25 m (very likely)"
WGI,02,291,5,12,col1,|,to longer-term climate. the hadley circulation has likely widened,to longer-term climate. the hadley circulation has likely widened_ higher during the mid-pliocene warm period (mpwp) (3.3 million
WGI,02,291,5,13,col2,|, stable during the past 8000 years (medium confidence) but declined,confidence) and for the past 1000 years for late-summer values_ stable during the past 8000 years (medium confidence) but declined
WGI,02,291,5,14,col2,>>>, during the 20th century (low confidence). ocean ph has declined,"(medium confidence). between 1979 and 2019, arctic sea ice area_ during the 20th century (low confidence). ocean ph has declined"
WGI,02,291,5,15,col2,|, globally at the surface over the past four decades (virtually certain),"has decreased in both summer and winter, with sea ice becoming_ globally at the surface over the past four decades (virtually certain)"
WGI,02,292,6,1,col2,|, there is high confidence that these modes of variability have,variable trends in low and mid-latitudes and an increase in high_ there is high confidence that these modes of variability have
WGI,02,292,6,2,col2,>>>," existed for millennia or longer, but low confidence in detailed","latitudes (medium confidence). global marine primary production_ existed for millennia or longer, but low confidence in detailed"
WGI,02,292,6,3,col2,|, reconstructions of most modes prior to direct instrumental,"decreased slightly from 1998–2018, with increasing production in_ reconstructions of most modes prior to direct instrumental"
WGI,02,305,19,1,col2,|, 2.2.5.1_ stratospheric water vapour,"of 100% and 187%, respectively. while the erf of hfc-245fa is_ 2.2.5.1_ stratospheric water vapour"
WGI,02,305,19,2,col2,>>>, the ar5 assessed low confidence in stratospheric water vapour (swv),"2011 to 3.1 ppt in 2019 (annex iii). in contrast, hfc-152a is showing_ the ar5 assessed low confidence in stratospheric water vapour (swv)"
WGI,02,305,19,3,col2,|, trends based on substantial seasonal and interannual variability in,signs of stable (steady-state) abundance._ trends based on substantial seasonal and interannual variability in
WGI,02,305,19,4,col2,|, interannual variability that complicates trend detection. there,the atmospheric mixing ratios of cfcs and an increase in their_ interannual variability that complicates trend detection. there
WGI,02,305,19,5,col2,>>>, thus continues to be low confidence in trends of swv over the,"replacements. however, average annual erf growth rates associated_ thus continues to be low confidence in trends of swv over the"
WGI,02,305,19,6,col2,|," instrumental period. disregarding dynamic influences on swv, an","with halogenated gases since 2011 are a factor of seven lower than_ instrumental period. disregarding dynamic influences on swv, an"
WGI,02,307,21,1,col1,|,"century, with the increases of surface ozone in the sh being of","century, with the increases of surface ozone in the sh being of_ (figure 2.8c), and weak tropospheric column ozone increases (<5%,"
WGI,02,307,21,2,col1,>>>,"low confidence. surface ozone likely increased in east asia, but","low confidence. surface ozone likely increased in east asia, but_ <1 ppbv per decade) at mid-latitudes (cooper et al., 2020). above"
WGI,02,307,21,3,col1,|,levelled off or decreased in the eastern usa and western europe.,"levelled off or decreased in the eastern usa and western europe._ antarctica, mid-tropospheric ozone has increased since the late 20th"
WGI,02,307,21,4,col2,|, global tropospheric ozone increase to less than 40% between 1850,"model simulations, constrains the global tropospheric ozone increase_ global tropospheric ozone increase to less than 40% between 1850"
WGI,02,307,21,5,col2,>>>, and 2005 (low confidence). based on sparse historical surface/low,"to less than 40% between 1850 and 2005, with most of this increase_ and 2005 (low confidence). based on sparse historical surface/low"
WGI,02,307,21,6,col2,|, altitude data tropospheric ozone has increased since the mid-20th,"occurring between 1950 and 1980 (yeung et al., 2019). recently,_ altitude data tropospheric ozone has increased since the mid-20th"
WGI,02,308,22,1,col1,|,the ar5 assessed large-scale aerosol optical depth (aod) trends,the ar5 assessed large-scale aerosol optical depth (aod) trends_ improved quantification of changes in dust deposition from north
WGI,02,308,22,2,col1,>>>,"over 2000–2009, concluding that there was low confidence in","over 2000–2009, concluding that there was low confidence in_ africa and north atlantic sediment records confirms dust deposition"
WGI,02,308,22,3,col1,|,"a global trend, but that aod very likely decreased from 1990","a global trend, but that aod very likely decreased from 1990_ rates lower by a factor 2–5 during the african humid period (10–5 ka)"
WGI,02,310,24,1,col1,|,until the last quarter of the 20th century and decreases thereafter,"until the last quarter of the 20th century and decreases thereafter_ fall at the lower end of the ar5 assessed range. for instance, based on"
WGI,02,310,24,2,col1,>>>,"(high confidence), but there is low confidence in observations of","(high confidence), but there is low confidence in observations of_ historical simulations from 13 cmip6 models, c.j. smith et al. (2020)"
WGI,02,310,24,3,col1,|,systematic changes in other parts of the world in these periods.,systematic changes in other parts of the world in these periods._ estimated that the erf from surface albedo changes (including snow
WGI,02,312,26,1,col2,|, changing state of the climate system,chapter 2_ changing state of the climate system
WGI,02,312,26,2,col2,>>>, rapid adjustments and thus there is low confidence in its magnitude.,earth’s energy imbalance (section 7.2.2.1). the relative importance_ rapid adjustments and thus there is low confidence in its magnitude.
WGI,02,312,26,3,col2,|, biogeochemical feedbacks can be substantial (section 5.4) and are,of aerosol forcing compared to other forcing agents has decreased_ biogeochemical feedbacks can be substantial (section 5.4) and are
WGI,02,314,28,1,col1,|,reconstructed gmst during the petm was 4°c–7°c warmer than,"reconstructed gmst during the petm was 4°c–7°c warmer than_ originally used by j. hansen et al. (2013) to reconstruct gmst, and"
WGI,02,314,28,2,col1,>>>,"pre-petm mean climate (low confidence), and that the eeco and the","pre-petm mean climate (low confidence), and that the eeco and the_ is the preferred representation of the global average bottom water"
WGI,02,314,28,3,col1,|,"mpwp were 9°c–14°c and 1.9°c–3.6°c warmer than pre-industrial,","mpwp were 9°c–14°c and 1.9°c–3.6°c warmer than pre-industrial,_ conditions, despite its less well-refined chronology."
WGI,02,320,34,1,col1,|,temperatures. richardson et al. (2018) found this underestimation to amount to approximately 3% of observed warming in historical,temperatures. richardson et al. (2018) found this underestimation to amount to approximately 3% of observed warming in historical
WGI,02,320,34,2,col1,>>>,"model simulations. given the projected future sea ice losses, the effect will grow in future (low confidence), with potential effects of","model simulations. given the projected future sea ice losses, the effect will grow in future (low confidence), with potential effects of"
WGI,02,320,34,3,col1,|,"the order of 0.1°c in the second half of the 21st century under high warming scenarios, although with some uncertainty arising from","the order of 0.1°c in the second half of the 21st century under high warming scenarios, although with some uncertainty arising from"
WGI,02,321,35,1,col1,|,"either direction. however, conflicting lines of evidence from models and direct observations combined with limitations in theoretical","either direction. however, conflicting lines of evidence from models and direct observations combined with limitations in theoretical"
WGI,02,321,35,2,col1,>>>,understanding lead to low confidence in the sign of any difference in long-term trends. the very likely range of estimated historical,understanding lead to low confidence in the sign of any difference in long-term trends. the very likely range of estimated historical
WGI,02,321,35,3,col1,|,gmst warming is combined with the assessed ± 10% uncertainty in the relationship between gmst and gsat changes to infer,gmst warming is combined with the assessed ± 10% uncertainty in the relationship between gmst and gsat changes to infer
